Gene Set Name,# Genes DB1,# Genes DB2,# Common,Union Size,% Similarity
'de novo' cotranslational protein folding,6,2,0,8,0.0
'de novo' CTP biosynthetic process,12,1,0,13,0.0
'de novo' L-methionine biosynthetic process,3,1,0,4,0.0
'de novo' pyrimidine nucleobase biosynthetic process,24,2,0,26,0.0
(1->3)-beta-D-glucan biosynthetic process,39,1,0,40,0.0
"1,3-beta-D-glucan synthase activity",39,1,0,40,0.0
"1,4-alpha-glucan branching enzyme activity",15,2,0,17,0.0
"1,4-alpha-oligoglucan phosphorylase activity",9,1,0,10,0.0
10-formyltetrahydrofolate biosynthetic process,3,4,0,7,0.0
15-cis-phytoene synthase activity,8,1,0,9,0.0
1-deoxy-D-xylulose-5-phosphate reductoisomerase activity,6,1,0,7,0.0
"2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-D-glucosyltransferase activity",17,1,0,18,0.0
2-(3-amino-3-carboxypropyl)histidine synthase activity,4,2,0,6,0.0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,3,1,0,4,0.0
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity,3,1,0,4,0.0
"2 iron, 2 sulfur cluster binding",136,4,0,140,0.0
2-isopropylmalate synthase activity,3,1,0,4,0.0
"2-methyl-6-phytyl-1,4-benzoquinone methyltransferase activity",9,1,0,10,0.0
3''-deamino-3''-oxonicotianamine reductase activity,6,1,0,7,0.0
"3'(2'),5'-bisphosphate nucleotidase activity",8,1,0,9,0.0
3'-5'-DNA exonuclease activity,5,1,0,6,0.0
3'-5' DNA helicase activity,14,2,0,16,0.0
3'-5' exonuclease activity,204,2,0,206,0.0
3'-5'-RNA exonuclease activity,27,2,0,29,0.0
3'-tRNA processing endoribonuclease activity,3,1,0,4,0.0
3-dehydroquinate dehydratase activity,6,1,0,7,0.0
"3 iron, 4 sulfur cluster binding",10,2,0,12,0.0
3-isopropylmalate dehydratase activity,6,1,0,7,0.0
3-isopropylmalate dehydrogenase activity,5,1,0,6,0.0
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,6,1,0,7,0.0
3-phosphoshikimate 1-carboxyvinyltransferase activity,2,1,0,3,0.0
4-alpha-glucanotransferase activity,6,2,0,8,0.0
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity (ferredoxin),3,1,0,4,0.0
5'-3' DNA exonuclease activity,6,1,0,7,0.0
5'-3' DNA helicase activity,4,2,0,6,0.0
5'-3' exonuclease activity,12,1,0,13,0.0
5'-3' RNA exonuclease activity,13,2,0,15,0.0
5'-deoxyribose-5-phosphate lyase activity,3,1,0,4,0.0
5'-nucleotidase activity,8,1,0,9,0.0
5S rRNA binding,16,2,0,18,0.0
5-diphosphoinositol pentakisphosphate 1-kinase activity,3,1,0,4,0.0
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity,6,1,0,7,0.0
6-phosphofructokinase activity,36,1,0,37,0.0
6-phosphofructo-2-kinase activity,6,1,0,7,0.0
7S RNA binding,42,3,0,45,0.0
"9,9'-di-cis-zeta-carotene desaturase activity",3,1,0,4,0.0
90S preribosome,4,2,0,6,0.0
ABC-type protein transporter activity,2,1,0,3,0.0
ABC-type transporter activity,399,2,0,401,0.0
abscisic acid-activated signaling pathway,175,2,0,177,0.0
acceptance of pollen,8,1,0,9,0.0
acetate-CoA ligase activity,6,1,0,7,0.0
acetolactate synthase activity,5,1,0,6,0.0
acetolactate synthase regulator activity,7,1,0,8,0.0
acetylglutamate kinase activity,6,1,0,7,0.0
