Gene Set Name,Precision,Recall,F1
'de novo' CTP biosynthetic process,0.0,0.0,0.0
'de novo' L-methionine biosynthetic process,0.0,0.0,0.0
'de novo' cotranslational protein folding,0.0,0.0,0.0
'de novo' pyrimidine nucleobase biosynthetic process,0.0,0.0,0.0
(1->3)-beta-D-glucan biosynthetic process,0.0,0.0,0.0
"1,3-beta-D-glucan synthase activity",0.0,0.0,0.0
"1,4-alpha-glucan branching enzyme activity",0.0,0.0,0.0
"1,4-alpha-oligoglucan phosphorylase activity",0.0,0.0,0.0
1-deoxy-D-xylulose-5-phosphate reductoisomerase activity,0.0,0.0,0.0
10-formyltetrahydrofolate biosynthetic process,0.0,0.0,0.0
15-cis-phytoene synthase activity,0.0,0.0,0.0
"2 iron, 2 sulfur cluster binding",0.0,0.0,0.0
"2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-D-glucosyltransferase activity",0.0,0.0,0.0
2-(3-amino-3-carboxypropyl)histidine synthase activity,0.0,0.0,0.0
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity,0.0,0.0,0.0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,0.0,0.0,0.0
2-isopropylmalate synthase activity,0.0,0.0,0.0
"2-methyl-6-phytyl-1,4-benzoquinone methyltransferase activity",0.0,0.0,0.0
"3 iron, 4 sulfur cluster binding",0.0,0.0,0.0
3''-deamino-3''-oxonicotianamine reductase activity,0.0,0.0,0.0
"3'(2'),5'-bisphosphate nucleotidase activity",0.0,0.0,0.0
3'-5' DNA helicase activity,0.0,0.0,0.0
3'-5' exonuclease activity,0.0,0.0,0.0
3'-5'-DNA exonuclease activity,0.0,0.0,0.0
3'-5'-RNA exonuclease activity,0.0,0.0,0.0
3'-tRNA processing endoribonuclease activity,0.0,0.0,0.0
3-dehydroquinate dehydratase activity,0.0,0.0,0.0
3-isopropylmalate dehydratase activity,0.0,0.0,0.0
3-isopropylmalate dehydrogenase activity,0.0,0.0,0.0
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,0.0,0.0,0.0
3-phosphoshikimate 1-carboxyvinyltransferase activity,0.0,0.0,0.0
4-alpha-glucanotransferase activity,0.0,0.0,0.0
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity (ferredoxin),0.0,0.0,0.0
5'-3' DNA exonuclease activity,0.0,0.0,0.0
5'-3' DNA helicase activity,0.0,0.0,0.0
5'-3' RNA exonuclease activity,0.0,0.0,0.0
5'-3' exonuclease activity,0.0,0.0,0.0
5'-deoxyribose-5-phosphate lyase activity,0.0,0.0,0.0
5'-nucleotidase activity,0.0,0.0,0.0
5-diphosphoinositol pentakisphosphate 1-kinase activity,0.0,0.0,0.0
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity,0.0,0.0,0.0
5S rRNA binding,0.0,0.0,0.0
6-phosphofructo-2-kinase activity,0.0,0.0,0.0
6-phosphofructokinase activity,0.0,0.0,0.0
7S RNA binding,0.0,0.0,0.0
"9,9'-di-cis-zeta-carotene desaturase activity",0.0,0.0,0.0
90S preribosome,0.0,0.0,0.0
ABC-type protein transporter activity,0.0,0.0,0.0
ABC-type transporter activity,0.0,0.0,0.0
ADP binding,0.0,0.0,0.0
AP-1 adaptor complex,0.0,0.0,0.0
AP-2 adaptor complex,0.0,0.0,0.0
AP-3 adaptor complex,0.0,0.0,0.0
ATP binding,0.0,0.0,0.0
ATPase binding,0.0,0.0,0.0
DIMBOA glucoside beta-D-glucosidase activity,0.0,0.0,0.0
DNA (cytosine-5-)-methyltransferase activity,0.0,0.0,0.0
DNA alkylation repair,0.0,0.0,0.0
DNA binding,0.0,0.0,0.0
DNA-(apurinic or apyrimidinic site) endonuclease activity,0.0,0.0,0.0
GDP-mannose metabolic process,0.0,0.0,0.0
GINS complex,0.0,0.0,0.0
Golgi apparatus,0.0,0.0,0.0
N-terminal protein myristoylation,0.0,0.0,0.0
N6-methyladenosine-containing RNA reader activity,0.0,0.0,0.0
NAD biosynthetic process,0.0,0.0,0.0
NAD metabolic process,0.0,0.0,0.0
NAD(P)H dehydrogenase complex (plastoquinone),0.0,0.0,0.0
NAD(P)HX epimerase activity,0.0,0.0,0.0
NAD+ kinase activity,0.0,0.0,0.0
NAD-dependent protein lysine deacetylase activity,0.0,0.0,0.0
NADH dehydrogenase (ubiquinone) activity,0.0,0.0,0.0
NADH dehydrogenase activity,0.0,0.0,0.0
NADH dehydrogenase complex (plastoquinone) assembly,0.0,0.0,0.0
NADH oxidation,0.0,0.0,0.0
NADP binding,0.0,0.0,0.0
NADP biosynthetic process,0.0,0.0,0.0
NADP metabolic process,0.0,0.0,0.0
RNA-templated DNA biosynthetic process,0.0,0.0,0.0
RQC-trigger complex,0.0,0.0,0.0
Rho protein signal transduction,0.0,0.0,0.0
TOR signaling,0.0,0.0,0.0
abscisic acid-activated signaling pathway,0.0,0.0,0.0
acceptance of pollen,0.0,0.0,0.0
acetate-CoA ligase activity,0.0,0.0,0.0
acetolactate synthase activity,0.0,0.0,0.0
acetolactate synthase regulator activity,0.0,0.0,0.0
acetyl-CoA biosynthetic process from pyruvate,0.0,0.0,0.0
acetyl-CoA carboxylase activity,0.0,0.0,0.0
acetyl-CoA metabolic process,0.0,0.0,0.0
acetylglutamate kinase activity,0.0,0.0,0.0
acid phosphatase activity,0.0,0.0,0.0
acid-amino acid ligase activity,0.0,0.0,0.0
aconitate hydratase activity,0.0,0.0,0.0
actin cytoskeleton,0.0,0.0,0.0
actin cytoskeleton organization,0.0,0.0,0.0
actin filament bundle,0.0,0.0,0.0
actin filament bundle assembly,0.0,0.0,0.0
actin filament capping,0.0,0.0,0.0
actin filament depolymerization,0.0,0.0,0.0
actin filament organization,0.0,0.0,0.0
actin filament polymerization,0.0,0.0,0.0
actin filament severing,0.0,0.0,0.0
actin filament-based process,0.0,0.0,0.0
actin nucleation,0.0,0.0,0.0
activation of protein kinase activity,0.0,0.0,0.0
acyl-CoA dehydrogenase activity,0.0,0.0,0.0
acyl-CoA metabolic process,0.0,0.0,0.0
acyl-CoA oxidase activity,0.0,0.0,0.0
acylglycerol transport,0.0,0.0,0.0
acyltransferase activity,0.0,0.0,0.0
adenosine kinase activity,0.0,0.0,0.0
adenosine salvage,0.0,0.0,0.0
adenosylmethionine decarboxylase activity,0.0,0.0,0.0
adenyl ribonucleotide binding,0.0,0.0,0.0
adenyl-nucleotide exchange factor activity,0.0,0.0,0.0
adenylate cyclase-modulating G protein-coupled receptor signaling pathway,0.0,0.0,0.0
adenylate kinase activity,0.0,0.0,0.0
adenylosuccinate synthase activity,0.0,0.0,0.0
adenylyltransferase activity,0.0,0.0,0.0
allantoin catabolic process,0.0,0.0,0.0
amine metabolic process,0.0,0.0,0.0
amino acid biosynthetic process,0.0,0.0,0.0
amino acid metabolic process,0.0,0.0,0.0
amino acid transmembrane transport,0.0,0.0,0.0
amino acid transmembrane transporter activity,0.0,0.0,0.0
amino acid transport,0.0,0.0,0.0
aminopeptidase activity,0.0,0.0,0.0
amyloplast,0.0,0.0,0.0
anaphase-promoting complex binding,0.0,0.0,0.0
anaphase-promoting complex-dependent catabolic process,0.0,0.0,0.0
anatomical structure morphogenesis,0.0,0.0,0.0
anchoring junction,0.0,0.0,0.0
anther development,0.0,0.0,0.0
anthranilate phosphoribosyltransferase activity,0.0,0.0,0.0
anthranilate synthase activity,0.0,0.0,0.0
anthranilate synthase complex,0.0,0.0,0.0
antioxidant activity,0.0,0.0,0.0
apoplast,0.0,0.0,0.0
arachidonate secretion,0.0,0.0,0.0
arginase activity,0.0,0.0,0.0
arginine catabolic process,0.0,0.0,0.0
arginine metabolic process,0.0,0.0,0.0
argininosuccinate lyase activity,0.0,0.0,0.0
argininosuccinate synthase activity,0.0,0.0,0.0
arginyl-tRNA aminoacylation,0.0,0.0,0.0
arginyl-tRNA--protein transferase activity,0.0,0.0,0.0
aromatic amino acid family biosynthetic process,0.0,0.0,0.0
"aromatic amino acid family biosynthetic process, prephenate pathway",0.0,0.0,0.0
aromatic amino acid metabolic process,0.0,0.0,0.0
asparagine biosynthetic process,0.0,0.0,0.0
asparagine synthase (glutamine-hydrolyzing) activity,0.0,0.0,0.0
asparagine-tRNA ligase activity,0.0,0.0,0.0
asparaginyl-tRNA aminoacylation,0.0,0.0,0.0
aspartate kinase activity,0.0,0.0,0.0
aspartate-prephenate aminotransferase activity,0.0,0.0,0.0
asymmetric cell division,0.0,0.0,0.0
bis(5'-adenosyl)-triphosphatase activity,0.0,0.0,0.0
bounding membrane of organelle,0.0,0.0,0.0
branched-chain amino acid biosynthetic process,0.0,0.0,0.0
branched-chain amino acid catabolic process,0.0,0.0,0.0
branched-chain amino acid metabolic process,0.0,0.0,0.0
branched-chain-amino-acid transaminase activity,0.0,0.0,0.0
calcium import into the mitochondrion,0.0,0.0,0.0
calcium ion binding,0.0,0.0,0.0
calcium ion transmembrane transport,0.0,0.0,0.0
calcium ion transport,0.0,0.0,0.0
calcium-dependent phospholipid binding,0.0,0.0,0.0
calcium-dependent protein binding,0.0,0.0,0.0
calcium-mediated signaling,0.0,0.0,0.0
callose deposition in cell wall,0.0,0.0,0.0
calmodulin binding,0.0,0.0,0.0
carbohydrate binding,0.0,0.0,0.0
carbohydrate metabolic process,0.0,0.0,0.0
defense response to fungus,0.0,0.0,0.0
defense response to other organism,0.0,0.0,0.0
dehydrodolichyl diphosphate synthase complex,0.0,0.0,0.0
delta DNA polymerase complex,0.0,0.0,0.0
deoxyhypusine monooxygenase activity,0.0,0.0,0.0
deoxyhypusine synthase activity,0.0,0.0,0.0
deoxyribodipyrimidine photo-lyase activity,0.0,0.0,0.0
deoxyribonucleotide biosynthetic process,0.0,0.0,0.0
deoxyribonucleotide catabolic process,0.0,0.0,0.0
dephospho-CoA kinase activity,0.0,0.0,0.0
dephosphorylation,0.0,0.0,0.0
detection of hypoxia,0.0,0.0,0.0
detection of mechanical stimulus,0.0,0.0,0.0
detection of stimulus,0.0,0.0,0.0
dethiobiotin synthase activity,0.0,0.0,0.0
detoxification,0.0,0.0,0.0
deubiquitinase activity,0.0,0.0,0.0
developmental growth,0.0,0.0,0.0
developmental process,0.0,0.0,0.0
developmental process involved in reproduction,0.0,0.0,0.0
diaminopimelate biosynthetic process,0.0,0.0,0.0
dicarboxylic acid metabolic process,0.0,0.0,0.0
dicarboxylic acid transmembrane transporter activity,0.0,0.0,0.0
digalactosyldiacylglycerol synthase activity,0.0,0.0,0.0
dihydrolipoyl dehydrogenase activity,0.0,0.0,0.0
dihydrolipoyllysine-residue acetyltransferase activity,0.0,0.0,0.0
dihydropteroate synthase activity,0.0,0.0,0.0
dimethylallyl diphosphate biosynthetic process,0.0,0.0,0.0
dipeptidase activity,0.0,0.0,0.0
dipeptide transmembrane transport,0.0,0.0,0.0
dipeptide transmembrane transporter activity,0.0,0.0,0.0
dipeptide transport,0.0,0.0,0.0
gene expression,0.0,0.0,0.0
gibberellin 3-beta-dioxygenase activity,0.0,0.0,0.0
gibberellin biosynthetic process,0.0,0.0,0.0
gibberellin metabolic process,0.0,0.0,0.0
glucan metabolic process,0.0,0.0,0.0
gluconeogenesis,0.0,0.0,0.0
glucose 6-phosphate metabolic process,0.0,0.0,0.0
glucose catabolic process,0.0,0.0,0.0
glucose-6-phosphate 1-epimerase activity,0.0,0.0,0.0
glucose-6-phosphate dehydrogenase activity,0.0,0.0,0.0
glucose-6-phosphate isomerase activity,0.0,0.0,0.0
glucosinolate biosynthetic process,0.0,0.0,0.0
glucosinolate metabolic process,0.0,0.0,0.0
glucosylceramide catabolic process,0.0,0.0,0.0
glucosyltransferase activity,0.0,0.0,0.0
glucuronosyltransferase activity,0.0,0.0,0.0
glutamate 5-kinase activity,0.0,0.0,0.0
glutamate N-acetyltransferase activity,0.0,0.0,0.0
glutamate biosynthetic process,0.0,0.0,0.0
glutamate catabolic process,0.0,0.0,0.0
glutamate decarboxylase activity,0.0,0.0,0.0
glutamate-5-semialdehyde dehydrogenase activity,0.0,0.0,0.0
glutamate-cysteine ligase activity,0.0,0.0,0.0
glutamate-prephenate aminotransferase activity,0.0,0.0,0.0
glutamate-tRNA ligase activity,0.0,0.0,0.0
glutaminase activity,0.0,0.0,0.0
glutamine biosynthetic process,0.0,0.0,0.0
glutamine family amino acid biosynthetic process,0.0,0.0,0.0
