Gene Set Name,# Genes DB1,# Genes DB2,# Common,Union Size,% Similarity
'de novo' cotranslational protein folding,6,4,4,6,66.67
'de novo' CTP biosynthetic process,12,5,5,12,41.67
'de novo' L-methionine biosynthetic process,3,1,1,3,33.33
'de novo' NAD biosynthetic process from aspartate,1,1,1,1,100.0
'de novo' pyrimidine nucleobase biosynthetic process,24,19,19,24,79.17
(1->3)-beta-D-glucan biosynthetic process,39,29,29,39,74.36
"1,3-beta-D-glucan synthase activity",39,33,33,39,84.62
"1,4-alpha-glucan branching enzyme activity",15,13,13,15,86.67
"1,4-alpha-oligoglucan phosphorylase activity",9,9,9,9,100.0
10-formyltetrahydrofolate biosynthetic process,3,3,3,3,100.0
15-cis-phytoene synthase activity,8,8,8,8,100.0
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity,3,3,3,3,100.0
1-acylglycerol-3-phosphate O-acyltransferase activity,3,3,3,3,100.0
1-deoxy-D-xylulose-5-phosphate reductoisomerase activity,6,6,6,6,100.0
1-phosphatidylinositol binding,36,24,24,36,66.67
"2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-D-glucosyltransferase activity",17,7,6,18,33.33
2-(3-amino-3-carboxypropyl)histidine synthase activity,4,1,1,4,25.0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,3,2,2,3,66.67
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity,3,3,3,3,100.0
"2 iron, 2 sulfur cluster binding",136,121,119,138,86.23
2-isopropylmalate synthase activity,3,3,3,3,100.0
"2-methyl-6-phytyl-1,4-benzoquinone methyltransferase activity",9,6,6,9,66.67
2-oxoglutarate-dependent dioxygenase activity,9,7,7,9,77.78
"2-phytyl-1,4-naphthoquinone methyltransferase activity",4,4,4,4,100.0
3''-deamino-3''-oxonicotianamine reductase activity,6,1,1,6,16.67
"3'(2'),5'-bisphosphate nucleotidase activity",8,8,8,8,100.0
3'-5'-DNA exonuclease activity,5,4,4,5,80.0
3'-5' DNA helicase activity,14,8,8,14,57.14
3'-5' exonuclease activity,204,178,178,204,87.25
3'-5'-RNA exonuclease activity,27,23,23,27,85.19
3'-tRNA processing endoribonuclease activity,3,3,3,3,100.0
3-dehydroquinate dehydratase activity,6,6,6,6,100.0
3-dehydroquinate synthase activity,6,5,5,6,83.33
3-dehydrosphinganine reductase activity,2,3,2,3,66.67
3-deoxy-7-phosphoheptulonate synthase activity,6,4,4,6,66.67
3-hydroxyacyl-CoA dehydrogenase activity,1,1,1,1,100.0
3-hydroxyisobutyrate dehydrogenase activity,3,3,3,3,100.0
3-hydroxyisobutyryl-CoA hydrolase activity,12,12,12,12,100.0
"3 iron, 4 sulfur cluster binding",10,8,8,10,80.0
3-isopropylmalate dehydratase activity,6,6,6,6,100.0
