Gene Set Name,Common Genes,Newly Added Genes,Lost Genes,# Common,# New,# Lost,# Original
'de novo' CTP biosynthetic process,,TraesCS4B03G0844400,"TraesCS1A03G1005700, TraesCS1B03G1187400, TraesCS1B03G1238300, TraesCS1D03G0968300, TraesCS1D03G1003300, TraesCS2D03G0672100, TraesCS3A03G0578800, TraesCS3A03G0609400, TraesCS3B03G0657500, TraesCS3D03G0533200, TraesCS3D03G0559500, TraesCS5B03G0241800",0,1,12,12
'de novo' L-methionine biosynthetic process,,TraesCS4B03G0844400,"TraesCS7A03G0325900, TraesCS7B03G0108400, TraesCS7D03G0314600",0,1,3,3
'de novo' cotranslational protein folding,,"TraesCS4B03G0844400, TraesCS6A03G0131200","TraesCS1A03G1026200, TraesCS1B03G1210400, TraesCS1D03G0985600, TraesCS7A03G0738700, TraesCS7B03G0533400, TraesCS7D03G0703200",0,2,6,6
'de novo' pyrimidine nucleobase biosynthetic process,,"TraesCS4B03G0844400, TraesCS6A02G0582000","TraesCS2A03G0070400, TraesCS2A03G0334100, TraesCS2A03G1283600, TraesCS2B03G0104900, TraesCS2B03G0452300, TraesCS2B03G1475000, TraesCS2D03G0066000, TraesCS2D03G0353300, TraesCS2D03G1246100, TraesCS3B03G0371300, TraesCS3B03G1361900, TraesCS3B03G1363400, TraesCS3D03G0290600, TraesCS3D03G1091900, TraesCS3D03G1092300, TraesCS5A03G0332600, TraesCS5A03G0427100, TraesCS5B03G0333900, TraesCS5B03G0422500, TraesCS5D03G0314200, TraesCS5D03G0395400, TraesCS7A03G0387100, TraesCS7B03G0188100, TraesCS7D03G0373900",0,2,24,24
(1->3)-beta-D-glucan biosynthetic process,,TraesCS4B03G0844400,"TraesCS2A03G1151000, TraesCS2A03G1301300, TraesCS2B03G1307200, TraesCS2D03G1264800, TraesCS3A03G0498500, TraesCS3A03G0517400, TraesCS3A03G0631500, TraesCS3A03G0727800, TraesCS3B03G0584000, TraesCS3B03G0585500, TraesCS3B03G0708400, TraesCS3B03G0834700, TraesCS3D03G0463200, TraesCS3D03G0578500, TraesCS3D03G0672600, TraesCS4A03G1156500, TraesCS4B03G0833100, TraesCS4B03G0914600, TraesCS4D03G0742600, TraesCS4D03G0803900, TraesCS5A03G1151700, TraesCS5A03G1216400, TraesCS5D03G0260000, TraesCS6A03G0375100, TraesCS6A03G1048100, TraesCS6B03G0007000, TraesCS6B03G0007200, TraesCS6B03G0463800, TraesCS6B03G1301100, TraesCS6D03G0322400, TraesCS6D03G0929200, TraesCS7A03G0064400, TraesCS7A03G0343200, TraesCS7A03G1350800, TraesCS7B03G0132300, TraesCS7B03G1289400, TraesCS7D03G0060600, TraesCS7D03G0330700, TraesCS7D03G1280600",0,1,39,39
"1,3-beta-D-glucan synthase activity",,TraesCS4A03G0059800,"TraesCS2A03G1151000, TraesCS2A03G1301300, TraesCS2B03G1307200, TraesCS2D03G1264800, TraesCS3A03G0498500, TraesCS3A03G0517400, TraesCS3A03G0631500, TraesCS3A03G0727800, TraesCS3B03G0584000, TraesCS3B03G0585500, TraesCS3B03G0708400, TraesCS3B03G0834700, TraesCS3D03G0463200, TraesCS3D03G0578500, TraesCS3D03G0672600, TraesCS4A03G1156500, TraesCS4B03G0833100, TraesCS4B03G0914600, TraesCS4D03G0742600, TraesCS4D03G0803900, TraesCS5A03G1151700, TraesCS5A03G1216400, TraesCS5D03G0260000, TraesCS6A03G0375100, TraesCS6A03G1048100, TraesCS6B03G0007000, TraesCS6B03G0007200, TraesCS6B03G0463800, TraesCS6B03G1301100, TraesCS6D03G0322400, TraesCS6D03G0929200, TraesCS7A03G0064400, TraesCS7A03G0343200, TraesCS7A03G1350800, TraesCS7B03G0132300, TraesCS7B03G1289400, TraesCS7D03G0060600, TraesCS7D03G0330700, TraesCS7D03G1280600",0,1,39,39
"1,4-alpha-glucan branching enzyme activity",,"TraesCS4B03G0844400, TraesCS6A01G0033200","TraesCS2A03G0731800, TraesCS2A03G0772100, TraesCS2B03G0807500, TraesCS2B03G0853900, TraesCS2D03G0674400, TraesCS2D03G0711600, TraesCS7A03G0826800, TraesCS7A03G1335100, TraesCS7A03G1335200, TraesCS7B03G0684800, TraesCS7B03G1269000, TraesCS7B03G1269100, TraesCS7D03G0811600, TraesCS7D03G1261200, TraesCS7D03G1261300",0,2,15,15
"1,4-alpha-oligoglucan phosphorylase activity",,TraesCS4B03G0844400,"TraesCS3A03G0870500, TraesCS3A03G0870600, TraesCS3B03G0993200, TraesCS3B03G0993400, TraesCS3D03G0796900, TraesCS3D03G0797000, TraesCS5A03G0943300, TraesCS5B03G0992900, TraesCS5D03G0900800",0,1,9,9
1-deoxy-D-xylulose-5-phosphate reductoisomerase activity,,TraesCS4B03G0844400,"TraesCS3B03G0003000, TraesCS4A03G1102600, TraesCS6A03G0843000, TraesCS7A03G0125500, TraesCS7D03G0113300, TraesCSU03G0052400",0,1,6,6
10-formyltetrahydrofolate biosynthetic process,,"TraesCS4B03G0844400, TraesCS4B03G0844401, TraesCS4B03G0844402, TraesCS4B03G0844403","TraesCS5A03G0591300, TraesCS5B03G0606700, TraesCS5D03G0546800",0,4,3,3
